Nombre	Longitud	Latitud	param_ew	param_ns	param_up	wrms_ew	wrms_ns	wrms_up
ALAR	-36.6500	-9.7500	-4.8760	12.5390	-2.6420	1.8801	1.7186	5.8349
ALMA	-35.7800	-9.5500	-4.8119	12.8996	-0.7460	1.6277	1.5273	5.2082
BABJ	-43.5500	-13.2600	-3.1721	13.3809	-3.1484	1.7839	2.3919	9.0354
BABR	-44.9900	-12.1500	-4.6584	12.2171	0.6465	2.6405	2.5486	6.6832
BAIL	-39.1700	-14.8000	-4.4081	13.5256	-0.5187	1.9844	2.2780	5.3178
BAIR	-41.8600	-11.3100	-4.9040	13.1229	-0.6865	1.5137	2.1623	4.4155
BAIT	-40.2900	-12.5200	-4.8153	12.7148	-0.1223	1.5683	1.4885	4.9996
BATF	-39.7400	-17.5500	-3.1236	13.8132	0.2939	3.8580	2.1037	9.7298
BAVC	-40.8000	-14.8900	-5.2901	13.5520	-0.2352	1.6586	1.7727	6.2414
BRAZ	-47.8800	-15.9500	-4.2038	13.2853	-1.7279	1.5688	1.7005	5.0853
BRFT	-38.4300	-3.8800	-4.5830	8.9063	0.1570	1.6012	2.0386	4.9757
CEEU	-38.4300	-3.8800	-5.1899	11.6319	0.2094	1.4524	1.4938	4.4622
CEFT	-38.4700	-3.7100	-3.9872	9.8296	-3.8861	4.6352	2.6227	5.3271
CESB	-40.3400	-3.6800	-5.2291	13.1259	-2.4801	1.4888	1.5541	4.7128
CRA1	-39.4200	-7.2400	-4.0399	12.1722	-2.8871	3.1471	2.7275	10.3287
GOGY	-49.2600	-16.6600	-3.4375	13.6228	-1.3492	1.5363	1.7228	4.8140
GOJA	-51.7300	-17.8800	-2.9467	14.5618	7.5042	2.1661	2.2538	8.3614
GOUR	-49.1400	-14.5100	-3.4306	12.8683	-1.8290	1.5069	1.5911	5.0549
GVA1	-41.9600	-18.8600	-4.3596	12.7346	-1.2835	2.6174	2.0995	7.9603
IMPZ	-47.5000	-5.4900	-3.5636	14.0752	-6.3466	1.7620	1.7611	4.9824
JAMG	-43.7700	-15.3600	-4.5817	12.6602	-0.4008	1.3894	1.4008	4.5821
LBHT	-43.9600	-19.8700	-4.5383	13.2165	-1.1825	2.0041	1.9427	6.9786
LBSB	-47.8700	-15.7600	-3.9589	12.3866	-1.7210	2.0611	2.2164	7.6499
LIMP	-47.4900	-5.5300	-4.1910	12.8620	-3.0512	2.4411	2.3017	8.3765
LIOS	-39.1700	-14.8000	-5.1118	12.8410	-2.8779	3.4543	2.3660	10.3001
LNTA	-35.2100	-5.8400	-4.6727	12.4817	0.5791	2.3308	2.0896	8.0972
LPLN	-40.5400	-9.3600	-4.9764	13.0025	0.4110	2.2587	2.0794	8.3870
LSTM	-54.7300	-2.4300	-4.3848	15.0537	-20.7548	1.9890	2.1571	8.3609
MABA	-49.1200	-5.3600	-7.3129	11.7453	0.6247	2.5420	1.9229	9.1966
MABB	-44.8200	-4.2400	-2.8538	12.4011	-1.3928	1.6573	1.6233	4.6185
MABS	-46.0400	-7.5300	-4.4588	13.4829	-3.3284	1.8751	1.8167	7.3355
MGBH	-43.9200	-19.9400	-1.3754	12.4292	6.8810	2.8165	2.2401	8.5249
MGMC	-43.8600	-16.7200	-4.0219	13.3929	-1.8302	1.7345	1.9660	5.7187
MGMT	-47.5200	-18.7200	-3.8451	12.8957	0.4918	1.5155	1.6776	5.0547
MGRP	-46.1300	-19.2100	-3.6301	13.5235	-0.8351	1.4795	1.4585	4.5557
MGUB	-48.2600	-18.9200	-3.5694	13.1933	4.2792	1.7486	2.1225	6.7367
MTCN	-52.2700	-13.5600	1.4025	16.7763	-6.2460	3.3772	2.7826	5.3708
MTG1	-52.3100	-15.8800	-2.7646	11.7880	2.1768	2.2322	3.3601	6.0274
MTIT	-54.1500	-17.2200	-2.6174	12.9950	3.7752	1.5203	1.6393	5.3106
MTLE	-54.2800	-15.5500	-3.0610	12.9713	2.8344	1.5696	1.6219	5.2014
MTNX	-52.3500	-14.7000	-3.5361	13.2294	-0.5509	1.4579	1.6173	4.7525
MTSF	-50.6600	-11.6200	-4.7166	13.3679	-2.9102	1.4875	1.5230	4.7567
NATL	-35.2100	-5.8400	-5.3924	12.8724	-1.7008	1.5939	1.5026	4.7782
PAAR	-52.2100	-3.2100	-2.7443	10.9450	-2.1989	1.8517	2.2509	5.9528
PAAT	-52.1800	-3.2000	-5.0026	13.0084	-13.9529	1.6698	1.6043	6.5290
PASM	-54.7300	-2.4300	-4.1499	12.0046	-3.1696	1.6645	1.8741	6.9565
PBCG	-35.9100	-7.2100	-5.3524	12.5756	-1.4393	1.6779	1.5764	4.9502
PBJP	-34.8700	-7.1400	-5.0921	16.2292	6.0680	1.6803	2.4927	6.9101
PEAF	-37.6300	-7.7600	-5.3461	13.1896	1.8680	1.6774	1.5931	5.1214
PEPE	-40.5100	-9.3800	-5.5823	13.1561	-0.3491	1.4898	1.6605	5.0657
PICR	-45.1700	-10.4300	-4.9889	13.0160	0.5523	1.6047	1.6483	5.3458
PIFL	-43.0400	-6.7900	-2.4278	13.3358	1.4014	3.8369	1.9358	6.9974
PISR	-42.7000	-9.0300	-6.0924	14.1429	-3.6608	1.7126	1.7424	5.4543
PITN	-42.7900	-5.1000	-4.1633	13.4362	-1.3519	1.7535	1.6731	5.9589
RECF	-34.9500	-8.0500	-3.6064	10.2213	-1.5255	1.7258	1.7250	4.8225
RNMO	-37.3300	-5.2000	-3.9789	11.9924	-3.4929	2.8570	2.9191	6.1977
RNNA	-35.2100	-5.8400	-5.0351	12.5101	-0.1123	1.5863	1.4972	4.5608
RNPF	-38.2100	-6.1300	-2.4766	13.7453	3.1468	2.2406	1.6370	5.2802
SALU	-44.2100	-2.5900	-6.8407	11.6585	-2.3307	7.7077	3.2854	8.6360
SAVO	-38.4300	-12.9400	-4.4566	14.1772	2.2697	1.6329	1.6670	5.3948
SEAJ	-37.1000	-10.9300	-4.8616	12.5980	-2.5479	1.6075	1.5677	5.0997
SSA1	-38.5200	-12.9700	-5.0314	12.5881	-1.2790	1.7050	1.6185	5.2243
TOGU	-49.0500	-11.7500	-3.0416	12.8146	-4.6978	1.6973	1.9915	5.7679
TOPL	-48.3300	-10.1700	-5.0139	12.2798	-4.9422	1.9426	1.6576	5.8057
UBE1	-48.3200	-18.8900	-3.6291	13.2655	-1.9452	3.5848	2.2520	10.7325
